| Label | nr. | Gew. | Key | A  | B  | C   | D  | O/D | Mis | Max | Gem | P   | Sd  | RSK | Rit | Rir | AR |
|-------+-----+------+-----+----+----+-----+----+-----+-----+-----+-----+-----+-----+-----+-----+-----+----|
| 1#    | 1   | 1    | C   | 8  | 2  | 83* | 7  | 0   | 13  | 1   | 0.83| 83  | 0.38| 0.38| 11  | 8   | 81 |
| 2     | 2   | 1    |     |    |    |     |    | 3   | 334 | 3   | 1.79| 60  | 1.27| 0.42| 50  | 41  | 79 |
| 3     | 3   | 1    |     |    |    |     |    | 4   | 579 | 5   | 1.77| 35  | 1.43| 0.29| 57  | 47  | 79 |
| 4     | 4   | 1    |     |    |    |     |    | 1   | 149 | 2   | 0.43| 21  | 0.66| 0.33| 20  | 14  | 80 |
| 5     | 5   | 1    |     |    |    |     |    | 3   | 361 | 2   | 0.95| 47  | 0.86| 0.43| 35  | 28  | 80 |
| 6     | 6   | 1    |     |    |    |     |    | 0   | 36  | 2   | 1.09| 54  | 0.72| 0.36| 20  | 14  | 81 |
| 7     | 7   | 1    |     |    |    |     |    | 3   | 438 | 2   | 1.36| 68  | 0.79| 0.39| 42  | 36  | 80 |
| 8#    | 8   | 1    |     |    |    |     |    | 0   | 59  | 3   | 2.26| 75  | 0.74| 0.25| 35  | 29  | 80 |
| 9     | 9   | 1    |     |    |    |     |    | 6   | 844 | 3   | 1.34| 45  | 1.16| 0.39| 53  | 45  | 79 |
| 10    | 10  | 1    |     |    |    |     |    | 1   | 114 | 2   | 1.15| 58  | 0.90| 0.45| 36  | 28  | 80 |
| 11    | 11  | 1    | AB  | 45*| 21*| 34  |    | 0   | 43  | 1   | 0.66| 66  | 0.47| 0.47| 13  | 9   | 81 |
| 12    | 12  | 1    |     |    |    |     |    | 3   | 341 | 4   | 2.73| 68  | 1.48| 0.37| 39  | 27  | 80 |
| 13#   | 13  | 1    |     |    |    |     |    | 2   | 319 | 3   | 2.17| 72  | 1.10| 0.37| 43  | 35  | 80 |
| 14    | 14  | 1    |     |    |    |     |    | 7   | 915 | 3   | 1.66| 55  | 1.23| 0.41| 54  | 45  | 79 |
| 15    | 15  | 1    | D   | 7  | 39 | 10  | 44*| 0   | 48  | 1   | 0.44| 44  | 0.50| 0.50| 16  | 12  | 80 |
| 16    | 16  | 1    | B   | 27 | 48*| 20  | 5  | 0   | 32  | 1   | 0.48| 48  | 0.50| 0.50| 26  | 22  | 80 |
| 17    | 17  | 1    |     |    |    |     |    | 10  |1244 | 4   | 1.28| 32  | 1.17| 0.29| 44  | 35  | 80 |
| 18    | 18  | 1    |     |    |    |     |    | 6   | 802 | 4   | 2.39| 60  | 1.32| 0.33| 60  | 51  | 79 |
| 19#   | 19  | 1    |     |    |    |     |    | 4   | 561 | 2   | 0.46| 23  | 0.59| 0.29| 36  | 31  | 80 |
| 20    | 20  | 1    |     |    |    |     |    | 4   | 535 | 2   | 1.20| 60  | 0.81| 0.41| 39  | 33  | 80 |
| 21    | 21  | 1    |     |    |    |     |    | 4   | 573 | 4   | 2.85| 71  | 1.28| 0.32| 50  | 40  | 80 |
| 22    | 22  | 1    |     |    |    |     |    | 1   | 125 | 4   | 2.15| 54  | 1.14| 0.28| 43  | 34  | 80 |
| 23    | 23  | 1    |     |    |    |     |    | 9   |1147 | 4   | 1.27| 32  | 1.13| 0.28| 45  | 37  | 80 |
| 24    | 24  | 1    |     |    |    |     |    | 1   | 94  | 2   | 1.65| 83  | 0.62| 0.31| 22  | 16  | 80 |
| 25    | 25  | 1    |     |    |    |     |    | 8   |1103 | 4   | 1.59| 40  | 1.36| 0.34| 53  | 43  | 79 |
| 26#   | 26  | 1    |     |    |    |     |    | 1   | 111 | 2   | 1.30| 65  | 0.68| 0.34| 11  | 5   | 81 |
| 27    | 27  | 1    |     |    |    |     |    | 6   | 790 | 3   | 1.36| 45  | 0.94| 0.31| 47  | 40  | 80 |
| 28    | 28  | 1    |     |    |    |     |    |10   |1258 | 1   | 0.45| 45  | 0.50| 0.50| 33  | 29  | 80 |
| 29    | 29  | 1    | D   | 1  | 4  | 30  | 63*| 1   | 161 | 1   | 0.63| 63  | 0.48| 0.48| 18  | 14  | 80 |
| 30    | 30  | 1    |     |    |    |     |    |15   |1942 | 3   | 0.95| 32  | 1.02| 0.34| 53  | 46  | 79 |
